ListPrice,BEDS,BATHS,SQFT,LotSize,Age,ParkingSpots
179000,3,1,1012,3484,57,1
149900,3,1,1548,4791,126,2
179900,3,1.75,1647,5227,89,4
294900,4,1.5,2034,10454,82,4
149900,3,1.5,1800,4791,111,2
139900,3,2,1760,14374,54,1
99000,2,1,900,5227,93,2
129875,1,1,1076,5227,114,3
135000,6,2,1876,5227,12,1
189000,5,3.25,2234,5662,9,2
179900,3,1.5,1628,4791,1,4
159900,2,1,1149,4791,67,1
154900,3,1.75,1876,7405,73,2
189900,4,1.75,1802,7840,61,2
749000,5,3.5,3327,12196,104,3
749900,3,2.25,2079,7840,88,2
189500,2,1,1280,5227,88,1
479900,4,2.25,2696,7405,98,2
174900,3,2,1932,4356,103,1
88000,2,1,905,4791,62,1
109900,2,1.75,1374,12196,114,2
104900,3,1.5,1140,19602,59,1
146000,2,1.75,2195,10454,61,2
99900,2,0.75,994,5227,103,2
274900,4,1.75,2647,3920,128,3
85000,2,1.25,1027,5227,114,1
244999,4,2,1900,5227,92,4
164900,3,1.75,1557,4791,93,2
375000,4,2.75,2163,4791,67,1
169750,3,1.75,1600,6969,65,1
269900,3,1.75,2119,4791,81,4
209900,3,1,1072,4791,94,1
84900,2,1.75,1122,4356,98,0
379900,4,2,2032,5227,98,1
114900,3,1.5,1438,4791,73,2
263525,5,3.25,2598,10890,10,3
84900,2,1.75,1131,3920,110,2
152900,4,1,1300,5227,105,2
130000,3,1.5,1512,6098,5,2
159000,4,1,1260,5227,82,1
107900,4,2.5,2117,6098,55,2
159900,4,1.75,1778,8276,56,2
244900,3,1.75,1816,4791,83,1
167900,3,1.75,1794,7840,59,1
40000,5,1,1694,5662,92,1
135000,3,1,1334,5662,50,4
154900,2,1,1112,6098,100,1
199900,2,1.75,1384,5227,83,1
146900,3,1.75,2692,6534,39,5
159900,3,2.25,1651,5662,1,2
224900,3,1.5,1625,5227,80,2
89000,3,1,1103,7840,124,2
119900,1,1.75,851,3049,96,1
115000,3,1,888,6098,59,2
169900,4,2.5,1196,8276,91,2
174900,3,1,1686,7405,63,2
120000,3,1,1140,7448,40,1
239741,4,2,1759,4791,2,2
165000,3,2,2085,6534,54,3
92000,4,2,1690,6969,61,2
169900,3,1,1345,6098,59,2
125000,3,1.25,1512,5227,102,2
139000,3,1,1272,4791,48,1
227900,4,0.75,1920,5227,114,4
94900,5,2,1820,5227,74,2
209900,3,1,1401,5227,87,1
210000,4,2,1555,4356,32,5
178000,3,1.5,1531,6098,75,1
224900,4,1.75,1680,6534,61,5
129900,4,1.25,1560,6098,112,0
149000,3,1.75,1544,5662,89,2
464000,3,1.75,1944,6534,113,2
149900,3,1,1321,6969,97,2
159900,3,2,1424,6098,67,3
97000,3,1,1094,6098,68,1
159777,3,1.75,1526,6534,59,2
164900,3,1.5,1581,7405,51,1
149990,4,1.75,1714,6098,64,1
152500,5,1.5,1547,6098,62,3
120000,2,1.25,1240,5227,88,2
44000,3,1,1311,5227,114,0
99900,4,1.25,1008,4356,74,1
142800,4,1.75,1650,5227,60,2
99900,2,2.5,1126,5227,134,6
139900,3,1,1220,4791,73,1
182500,4,1.75,1778,6969,106,5
169900,3,1,1453,4791,75,2
324900,3,1.75,2336,8712,31,6
69000,2,1,832,6969,88,1
69500,3,1,1014,5227,85,2
194900,2,1,1135,5227,95,2
189000,4,1.5,1460,10454,116,5
35900,2,1,734,6534,101,0
299900,3,2,1400,5227,90,2
168797,3,1.75,1306,5227,94,1
175000,3,1.75,1150,10454,46,2
179900,2,1,1344,4791,77,3
289900,3,2,1635,5227,93,1
39900,2,1.75,1808,6098,107,2
329900,3,1.5,1550,6534,99,1
149900,4,1,1369,4791,99,1
84900,3,1.75,1133,8276,99,1
120000,3,1,1694,4791,114,2
204900,4,1.5,2524,9147,51,2
145000,4,2,1964,7840,57,1
269900,4,1.75,1406,5227,96,2
194900,4,1.5,1408,4791,102,0
149900,3,0.75,1224,3920,128,2
74900,3,1.5,1178,5227,94,4
139900,2,1,738,2613,92,1
169900,4,2,1385,4356,114,1
1195000,5,3.25,6247,18295,106,3
99900,3,1,1241,5662,97,1
129900,3,1,1408,7405,73,2
1100000,4,1.5,1334,5662,114,1
299900,3,2,1644,4356,116,2
259900,3,1.75,1692,5227,95,2
189900,4,2,2230,11761,50,2
99000,3,1,949,10018,106,1
132900,3,1.75,1528,5227,49,1
159900,3,1.5,649,5227,91,1
145000,3,1.25,1580,6534,106,0
259900,4,1.75,2758,6534,135,2
169900,3,1.5,1503,9147,114,2
157000,4,1.5,1702,9626,107,2
162990,4,1.75,2102,6098,97,2
70000,2,1,1000,7405,74,1
117500,3,1,1176,4791,57,1
165000,3,1.75,1246,4791,59,1
104500,2,1,702,6098,105,1
125000,3,1,1240,5227,66,1
69000,1,1,710,5227,129,0
98850,2,1,730,4356,92,1
199786,3,2,1403,3484,31,2
140000,3,2,1650,7405,97,2
169900,3,1.5,1829,5227,64,2
28250,3,1,1597,6534,100,3
72900,3,1,1177,4791,75,2
409900,3,2.25,2218,10454,60,2
750000,4,3.25,3460,4791,11,2
129500,3,1.75,1533,4791,97,2
84900,2,1,940,6534,88,1
39353,1,1.5,972,3920,99,3
99900,2,1,1218,7405,124,2
384900,4,2,2468,6098,88,2
214900,3,1,1529,4791,89,1
499900,4,2.25,2085,9583,76,2
129850,3,1,1123,4791,74,0
129850,2,1.5,1527,4356,100,3
149900,4,1.5,1192,5662,62,1
329900,3,2.75,1859,5227,92,2
145000,3,1.75,1628,4791,53,2
129500,4,1.75,1422,4791,84,1
62000,2,1,728,4791,93,2
76000,2,1,660,4791,89,1
128000,3,1.75,1645,4791,76,2
129000,2,1.75,1194,5227,114,3
146900,3,2,2020,5227,84,1
239900,2,1,1324,5227,10,2
109900,2,1,1086,4791,63,1
155900,3,1.5,1255,5227,106,2
199850,2,1,826,5227,92,1
1799000,5,4.25,5702,27442,86,3
449900,4,1.75,2514,6098,87,1
165000,3,1.75,1529,4791,47,2
279000,3,1.5,1568,5662,102,2
49900,2,1,832,5227,109,1
150000,3,2,1486,5227,91,1
299800,4,1.75,1742,6098,82,1
179500,3,1.25,1248,5619,109,4
294999,4,2,2176,5227,119,1
309900,5,2.75,2480,7405,65,1
359900,3,1.5,1806,5227,79,2
112900,2,1,860,4791,89,2
119900,3,1.5,1308,5227,90,2
48000,2,1.25,933,5227,93,2
159900,4,2,1915,5662,63,1
429900,4,2,2460,9147,60,3
514000,3,3.25,3542,12196,124,6
144900,3,1,1536,9147,60,1
199000,4,3,1981,5227,98,0
549900,4,3.5,2852,6098,1,2
344900,4,1.75,1532,5227,90,1
189900,3,1,1398,6098,62,1
424000,4,3,3142,9583,38,4
137000,3,1.75,1326,5662,56,1
129900,3,1,1800,8276,57,2
99900,4,1.75,1828,5227,96,4
279900,3,1.75,1336,5227,90,2
174900,3,2.5,1623,7840,57,1
149900,3,1.5,1406,5227,55,1
144900,4,2,1400,7405,60,1
179900,3,1,1064,5227,52,1
169900,3,1.5,1943,10454,61,1
89900,3,1,624,10454,93,0
179000,4,2.25,1857,6098,55,3
314900,3,1.75,1725,4791,92,4
135500,3,1.75,1200,4356,60,1
164900,4,2,2009,9147,50,2
650000,4,2.75,3880,9147,53,2
149900,3,1.75,1647,6534,60,2
178900,3,1.75,1387,136778,50,2
799000,5,3,3927,125452,62,2
82500,5,1.5,1320,6534,113,0
69900,3,1,1600,5227,105,2
149900,2,1.5,1296,1306,144,0
100000,4,1.5,1964,5662,84,2
105900,4,1.5,2198,4356,104,1
329900,3,1.5,1691,4791,90,1
1195000,6,4.5,6328,16988,104,2
556877,4,3.25,2573,4791,91,3
79500,3,1.5,1091,5227,89,1
209900,2,1,814,2178,90,1
1325000,4,5.75,6783,35283,61,3
364500,4,2.25,2432,5662,78,1
199900,5,2.25,2767,7840,46,2
360000,3,1,1211,6534,98,1
134900,4,1,1709,6534,54,2
249900,2,1.25,994,4791,85,1
119500,2,1,1073,6969,98,4
99900,2,1.75,1220,6534,114,1
479000,4,1.75,2358,7405,79,1
260000,3,1.5,1488,5227,105,4
649900,5,3.25,3222,6098,86,4
194500,3,1.75,1814,7405,54,4
125000,4,1.5,1520,5227,53,1
113900,2,1.75,1296,4791,63,2
129000,4,2.25,1790,7405,47,2
78980,2,1,1415,7405,75,1
769000,5,3.25,3715,7405,102,2
206000,2,1,1358,11761,76,1
125000,3,1.5,1468,5227,105,2
234900,3,2,1277,7405,18,2
229900,4,2,1288,5227,88,1
83900,3,1,1761,6534,107,1
150000,4,2,1686,6969,114,1
119900,2,1,732,4791,100,1
69900,4,1.5,3000,3484,122,2
279900,3,1.75,1355,5227,99,2
2895000,6,5.75,7436,14374,85,3
549900,4,1.75,1945,5227,106,2
385000,5,3.25,2568,20908,113,2
485000,5,1.75,3422,5662,119,2
79000,2,1.25,1164,4791,128,2
105000,4,2,1064,7840,108,2
40000,3,1,1086,4356,103,1
149900,4,2,1624,4356,114,1
250000,3,1,1560,6534,106,1
3750000,5,5,6500,39639,56,3
995000,4,2.75,3119,7840,87,2
160000,3,1.5,1878,6098,20,1
119900,2,1,1369,6534,109,2
239900,3,2.5,1694,4791,107,2
1935000,5,3,5008,6534,85,2
158000,2,1,1498,5227,102,1
144900,3,1.25,1200,5227,114,2
119900,2,1.5,671,5662,68,1
1995000,3,2.75,5084,9147,98,2
299000,3,1.75,1899,8712,62,3
159990,3,1.5,1075,4356,103,4
217500,3,1.75,1675,5227,92,1
164900,2,1,1021,5227,106,1
139900,3,1,1345,5662,106,2
1995000,4,5,5866,7840,106,4
214900,3,1.5,1344,6969,89,2
189900,3,1.75,1747,6969,108,2
159900,2,1,1082,5227,68,1
77000,5,1,1536,5227,100,2
935000,4,3,2630,4356,1,2
159500,3,1.75,1248,4791,88,2
169900,3,1,1580,4791,59,2
848900,5,3.5,3602,6534,1,2
229900,3,1.5,1410,5749,68,1
135000,4,2,2992,4356,10,2
139900,4,2.75,1721,4791,111,1
475000,4,1.75,1925,5227,90,1
159900,3,1,1086,5662,114,1
63000,2,1,1374,5052,89,2
239900,4,1.75,2216,5227,91,2
794000,4,3,3091,5227,114,2
134900,2,1,1082,4791,111,2
19900,2,1,900,5227,103,1
130000,2,1.5,2728,3484,114,1
205000,3,0.75,1421,5227,108,1
759900,5,3.5,3564,5227,1,2
100000,3,1,1444,5227,56,1
69900,2,1,1337,4791,124,0
168700,2,1,984,4791,89,2
875000,5,3,4500,17859,96,5
199900,3,1.5,1549,5227,103,2
145000,3,1,1575,5227,66,4
174900,2,1,814,5227,89,1
379900,3,2.75,2246,4791,11,2
439900,3,1.5,2118,13068,57,3
51500,3,1,1419,6098,145,2
199990,3,1.75,1266,5662,89,2
99900,3,1,1490,4791,88,1
104900,2,1,1005,3920,102,1
545000,3,1.5,2003,6534,88,2
289000,2,1,1358,2178,100,1
58800,4,1,2460,4791,91,2
525000,3,2.25,2920,12196,82,2
165000,5,2.5,2200,6534,114,2
57500,3,1,1271,4791,100,2
63000,4,1,1522,4791,106,2
284900,3,1.5,1560,5227,104,2
139990,2,1.75,1050,4791,90,2
215000,4,2,1561,5227,73,1
134900,5,2.5,1819,7405,125,2
99900,3,1,1148,4791,87,1
159900,2,1,944,5227,82,1
125000,4,3,2174,7840,123,2
149900,5,1.75,1791,3920,126,1
104900,3,2,1388,5227,93,1
484900,4,2,1961,6098,114,2
159900,3,1.75,1492,5227,33,2
229900,5,3.25,3676,4791,114,2
109900,2,1.25,1066,5662,101,3
68000,2,1,996,5227,100,1
89900,2,1.5,1610,5227,114,1
94900,3,1,1056,5227,63,0
124900,2,1,1000,4356,87,1
335000,4,2,2257,5662,87,2
259900,3,2.5,1836,9583,73,4
160000,2,1,992,6534,92,1
224900,4,1.5,1260,6534,98,2
164500,2,1,860,5227,105,1
124900,2,1,1040,4791,114,1
199000,5,2,2144,4791,34,2
235900,3,1,1344,6534,89,2
39959,4,1.5,2480,5227,105,2
25450,3,1.75,1762,3484,114,1
199900,3,1,1221,5227,89,2
219900,3,1.75,1272,4791,66,2
195000,3,1,1512,5227,64,2
169900,3,1,1198,3484,114,2
210000,3,1.5,1465,5662,101,2
215000,3,1.5,1716,5227,94,2
219900,2,1,1003,3484,75,1
184900,3,1,1020,10890,10,2
389900,5,3.25,2170,5227,106,1
119000,2,1,1109,5227,64,1
72000,4,1,1812,5662,106,2
164900,3,1,1116,5227,63,1
69900,3,1,1198,4791,92,2
895000,4,2.75,2562,11761,107,2
71900,2,1,744,5227,98,1
174900,2,1,1307,4791,64,2
89900,3,1,1134,5227,61,1
214900,3,2,1344,4356,98,1
88372,2,1,730,4791,96,1
35000,1,1,768,4791,101,2
65000,2,1,986,5227,88,1
149900,3,1,1843,6969,96,3
169900,2,1,824,4791,89,2
84900,3,1.5,1756,5227,84,1
48500,1,1,833,5662,94,2
175000,3,1,997,5227,92,2
150900,3,2.5,1456,5662,35,2
64900,3,1,1350,6098,86,1
139900,3,1,1460,4356,90,1
174900,4,2.75,1760,4791,73,1
104900,3,2,1252,6534,92,4
119900,5,2,1355,6534,127,1
179900,2,1.5,1140,7840,62,2
89900,2,1,1094,5227,91,1
149900,3,2,2006,5227,102,2
96900,4,1.75,1679,5227,67,3
89900,2,1,1187,5227,119,1
339000,3,1,1680,5227,114,2
125000,2,1,1372,5227,90,2
109900,3,2,1632,5662,84,2
75000,3,1,1132,7405,101,2
69500,2,1,1564,5227,66,2
749000,5,3.25,2879,4791,104,2
99900,3,1.25,1442,5662,97,1
122000,3,1,1346,5662,81,5
224900,4,2,1915,10454,68,3
158900,3,1.75,2300,5227,49,2
389900,4,2.25,2018,6098,19,2
2990000,4,4,6293,34848,89,7
99900,3,1,1134,5662,112,2
399900,3,3,2888,3920,108,1
299900,3,1.5,1402,5227,110,3
76900,2,1,1125,6098,114,1
79900,4,1,1280,4791,105,2
234900,3,1.75,1841,6534,53,1
57900,2,1,550,5662,89,1
205000,3,2.25,1651,5662,1,2
80000,3,1,1240,4791,88,2
84900,3,1,1234,5227,89,1
79900,3,1.75,1325,4791,93,2
124900,3,1.75,1254,5227,121,1
135000,2,0.75,750,4791,102,1
184900,4,2,1594,4791,108,0
94900,4,1.75,1326,5227,90,1
239900,3,1.75,1736,8276,64,2
175000,3,2.25,1828,5662,104,2
64900,5,1,1320,5662,102,2
119900,2,1,786,4791,74,2
128900,3,1.75,1200,5227,88,3
159786,3,1.75,1480,5227,102,1
239900,2,1,1037,6969,105,2
149000,2,1,752,6098,99,2
109900,3,1.75,1358,5227,91,2
145000,4,1.75,1921,4791,105,1
79900,3,1.75,1793,5227,75,1
239900,4,1,1900,9583,62,2
74900,2,1.25,1123,4791,125,2
349900,3,2,1578,4791,99,3
77900,3,1.75,1298,5227,100,2
154900,3,1,1378,6534,111,1
92500,4,1.75,1924,4791,91,3
1250000,4,3,4570,10890,85,2
79900,4,1.5,1292,4356,92,1
224900,3,2,2110,5662,114,2
162900,2,1,868,5227,98,1
225000,3,2,1344,7840,111,4
54900,3,1.5,1207,5662,97,2
195000,3,1,1345,4791,85,1
69900,3,1,1128,5227,100,1
109900,3,1,1072,5227,88,0
1895000,4,3.75,6330,17424,3,3
150000,2,1.75,1961,5662,77,2
171900,2,1,1004,6098,63,3
194900,3,1,1836,5227,101,2
84900,3,1,1604,4791,99,1
113900,4,2,1660,4791,130,2
274900,2,1.75,930,4791,66,1
65000,2,1,1200,5662,98,1
189900,3,1.25,1549,5227,65,2
223900,4,2,1904,6098,104,2
302000,3,1.75,1804,5227,98,1
224900,4,1.75,1852,6098,58,2
179900,3,1.75,1914,6098,89,2
69900,2,1.5,1264,5227,88,1
419000,3,2,1495,5662,60,2
215900,4,1.75,2384,6534,29,2
90000,3,1,1847,5227,73,2
32500,2,2,858,6534,101,2
64000,3,1,1794,5227,67,2
205000,4,1.75,1796,23958,58,1
109000,1,1,1122,5227,94,2
87900,2,1,1150,7840,114,1
129900,3,2,1540,8276,90,2
164900,3,1.75,1430,5227,88,2
134900,3,1.75,1662,4356,38,2
143900,2,1,1152,6534,64,1
449000,3,3.5,2588,5662,15,4
279900,4,1.5,2568,3049,107,0
199900,3,1,1092,3484,97,0
229000,4,1.75,1435,5227,105,2
189900,3,1.75,1806,4791,57,1
184900,2,1,850,5227,89,2
234900,4,1.75,1612,6098,48,2
129900,2,1,1004,6534,33,2
79900,3,1,1279,4791,98,1
129900,3,2.25,2302,5227,108,4
34900,2,1,907,3571,105,0
269900,3,1,1469,5662,85,1
229900,4,3,2312,4356,100,1
75000,2,1,640,4791,58,1
134900,3,1,1295,5227,86,1
145000,3,1.5,1592,5227,87,2
139900,3,1,1380,5662,69,1
149900,3,1,1292,5227,72,2
130000,3,1,1330,5227,75,2
112500,3,1,1525,5227,129,2
89900,3,1,1036,4791,106,2
169900,4,1.5,1470,5227,56,1
159900,2,1.75,1095,5662,94,2
78000,3,1.5,1580,6098,99,1
50000,3,2,1080,4791,116,2
59900,4,1.5,1922,3484,114,0
189900,4,1.5,1344,8276,109,2
135900,3,1.5,1420,8712,104,2
596370,4,3.25,2681,3920,2,2
139900,1,1.5,830,5227,98,1
150000,4,1,1842,4791,104,2
949900,4,3.5,3625,6098,35,2
58000,3,1,1119,4791,91,2
119900,3,1.5,1504,3484,130,0
99900,1,1,764,6098,98,1
824110,4,3,3298,7840,0,2
189900,3,1.5,1392,5227,98,1
94900,3,1,1080,7840,64,1
154900,4,1.75,2190,5227,83,2
78000,2,1,966,5227,94,1
189995,2,1,1256,4791,96,2
479000,4,1.75,2277,4791,74,2
1789411,3,2.75,2855,3920,1,2
69000,2,1,1060,5227,89,2
1695000,4,4,5581,15245,85,3
182900,2,1.75,2258,5662,89,1
650000,4,3.5,3024,5227,68,2
129900,5,2,2012,5227,92,3
164500,2,1,899,5227,114,2
189900,4,3,1768,3920,105,2
189900,3,1,1682,5227,85,2
140000,2,1.5,1366,5227,93,2
95000,2,1,1396,5662,107,2
108000,2,1,1289,4791,99,2
229900,3,1.75,2095,6098,100,1
159777,3,1,1144,5227,96,1
48900,3,1.75,1618,4791,62,2
841100,4,3.25,2894,5662,0,2
665000,4,1.75,2628,10454,60,2
44900,2,1.75,1728,4791,90,2
93408,2,0.75,672,5227,92,1
114900,1,1,632,5227,97,1
89900,3,1.5,1812,5227,98,2
137900,2,1.75,1776,4791,109,1
379900,3,1.75,2100,5227,104,2
114900,2,1,960,5662,103,2
79900,3,1,1404,4791,95,1
99900,2,1,1000,5227,104,2
950000,4,4,4141,7840,59,2
169900,2,1,1065,4791,89,2
329900,4,1,1654,5227,104,2
249900,3,2,1909,4791,89,1
249900,4,1.75,2456,5227,103,3
76000,3,1,1200,5227,75,1
1295000,4,4.75,4056,8712,87,3
169900,3,2,1930,4791,100,2
106900,2,1,1237,4791,95,0
89900,3,1,1010,5662,97,2
193000,3,1,1407,5227,37,4
849900,4,3.25,3689,5227,0,2
1250000,5,4,4846,7840,1,2
89900,3,1.5,784,6098,100,1
849900,4,3.25,3689,5227,0,2
139900,2,1.25,1272,4791,101,2
80000,3,1,1295,4791,97,2
1050000,5,3.25,3612,5227,0,2
89900,2,1,1233,5227,90,1
999000,5,3.25,3517,4791,1,2
226000,5,2,1672,5227,103,2
899900,5,3.25,3467,4791,1,2
99900,3,0.75,1008,5227,90,1
54500,3,1,1304,5227,86,2
120000,3,1,1450,4791,92,1
169900,2,1,932,4791,99,1
135000,2,1.75,1320,5227,91,1
154900,3,1,1135,5227,89,2
224900,2,1,1250,4356,99,3
148800,2,1,668,5227,87,2
195000,3,1.75,1996,7840,47,2
115000,4,1.5,1769,6969,20,1
129900,2,1,690,5227,99,1
185000,3,1.75,1868,5227,102,1
1199900,5,3.5,4434,6534,0,3
199900,3,1,1168,5227,94,2
875000,5,3.5,3303,5662,9,3
119900,4,2,1400,5662,7,2
179900,3,1.5,1258,5227,112,1
167500,3,1.75,1072,4791,88,2
139900,2,1,952,4791,99,2
124900,3,1,1176,5227,88,4
205900,2,1,1400,4791,72,1
425000,5,3.5,3456,5227,1,2
187500,3,1.5,1620,3484,50,1
169900,4,1.75,1717,5227,95,4
205000,5,2.25,1852,9147,49,2
125000,4,1.5,1320,3920,114,1
230000,2,1,1453,6098,78,2
179900,3,1,1203,6098,87,2
559900,5,3.25,3209,5227,1,4
184900,2,2,1420,5227,103,2
159900,3,1.75,1505,5227,90,3
2100000,4,4,4514,12196,1,4
179900,2,1.5,1220,7405,105,1
139900,2,0.75,833,5227,102,1
164900,3,1.5,1676,4791,64,2
159900,1,1,750,4791,105,1
147567,3,1,1344,7840,89,2
220000,4,2,2736,4791,99,2
179900,2,1,1022,4791,100,1
224900,3,1.75,1980,5227,105,2
245000,3,1.75,1482,4791,100,2
349500,4,2.25,1916,7405,53,2
3775000,4,4.5,5670,15245,14,3
75000,4,2,2163,6534,110,1
1399900,4,4,4368,13068,86,2
349900,3,2.25,1800,5662,1,2
174900,3,2,1586,6098,59,2
309900,4,2.25,2047,5227,108,4
299900,4,2,1653,5662,18,2
237000,3,1.75,1621,5227,90,2
159000,3,2.25,1970,6534,85,1
105000,3,1,1042,6098,91,1
228420,3,2.5,1578,4791,91,1
184900,3,2,1922,6534,82,2
189900,3,1.5,1620,6098,61,2
99900,2,1,1100,4791,91,3
154900,3,1.75,2164,6098,88,2
233900,2,1,1306,5227,99,2
120000,5,1,2060,4791,86,2
1675000,4,4.25,6279,14374,97,2
359900,4,2.5,1624,4791,0,2
164900,3,1,1532,7405,57,2
359000,3,2.25,1956,4791,0,2
995000,6,4.25,5401,10890,92,3
193500,2,1,950,4356,102,1
399900,3,2.5,2000,4791,1,2
299900,4,2,2485,5662,112,2
63000,4,2,1469,4791,127,4
104900,2,1,1002,4791,89,4
274900,5,2.25,2292,5662,59,2
1450000,4,2.75,3740,15245,58,2
99900,2,1,835,5227,91,1
359900,4,2.5,1624,5662,0,2
89900,3,1,1455,5662,91,1
279900,4,1.5,2860,4791,82,1
137500,3,1,1383,4791,88,1
199900,3,2,1350,4356,99,1
1195000,5,4.75,4921,5227,84,3
179900,2,1.5,1016,5227,99,2
318500,4,2.75,2880,5227,11,2
135000,3,1,1412,5227,67,1
67000,4,1,1248,4791,119,1
169900,3,1.25,1496,4791,13,1
350000,4,3,1690,5227,84,1
229000,3,1.5,1046,5227,114,2
424900,3,2.5,1948,5227,1,4
195000,1,1,900,5662,104,4
1695000,7,4,6499,16117,99,2
90000,2,2,1039,3920,114,1
157700,2,1,1250,4791,97,2
1495000,4,3.75,4973,16552,109,2
119000,3,1,1280,4791,89,2
254900,5,3,2640,6969,74,2
189900,3,1.75,1489,5227,93,2
225000,2,1.75,1548,5227,40,4
839900,5,3.25,3574,5662,1,2
194000,4,1,1213,5227,64,1
799000,5,3,3225,5227,1,2
1179000,5,3.25,4330,6534,0,2
179900,3,1.75,1409,5227,90,2
194900,3,1.75,1790,6969,66,2
165000,2,1,1100,5227,98,2
839900,4,3.25,3475,5227,1,2
159900,3,1,1216,5227,93,1
159900,4,1.75,2000,6534,65,2
89900,2,1,780,5009,114,1
145000,3,1,1516,5227,64,1
1400000,4,3.25,4181,16988,89,2
105900,3,2,1408,6098,100,2
99000,3,1,2330,8712,92,1
66900,2,1,1400,4791,85,1
349000,2,1.5,1715,5662,106,2
156900,3,1,1521,5227,67,2
143900,3,1.25,1794,5227,66,2
89900,3,1,1706,5227,90,2
279900,3,1.5,1608,4356,104,2
